Nr polisy;Data zawarcia;Data zakończenia;Termin płatności 1;Kwota płatności 1;Czy opłacona 1?;Termin płatności 2;Kwota płatności 2;Czy opłacona 2?;Kwota zadłużenia;Nr rejestracyjny / adres;Przedmiot ubezpieczenia;Marka pojazdu;Model pojazdu;Adres ubezpieczenia;Polisa aktywna;Nr pośrednika;Imię i nazwisko agenta;Pesel agenta;Imię i nazwisko ubezpieczonego;Pesel ubezpieczonego;Adres ubezpieczonego;;;;;;;;;;;;
912001589526;2021-06-02;2022-06-02;2021-06-17;69,00 zł;TAK;2021-12-02;69,00 zł;NIE;91,00 zł;WA264XT;MOTOR;Hyundai;Tucson;41-400 Mysłowice ul.Polna 46/12;TAK;A00001943017;Sempławski Michał;22291604811;Alicja  Dąbrowska;22220353207;41-400 Mysłowice ul.Polna 46/12;;;;;;;;;;;;
912001578680;2021-06-02;2022-06-02;2021-06-17;360,00 zł;TAK;2021-12-02;360,00 zł;TAK;0,00 zł;SLU26T9;MOTOR;Opel;Astra;41-100 Siemianowice Śląskie ul.Leśna 34/7;TAK;A00051943006;Ratyńska Edyta;67052231833;Antoni Woźniak;45112623530;41-100 Siemianowice Śląskie ul.Leśna 34/7;;;;;;;;;;;;
912001579100;2021-06-02;2022-06-02;2021-06-17;69,00 zł;TAK;2021-12-02;69,00 zł;TAK;0,00 zł;SMI14506;MOTOR;BMW;3;40-100 Katowice ul.Słoneczna 23/4a;TAK;A00001944017;Kaczyńska Agnieszka;15302676819;Szymon Mazur;52109535461;40-100 Katowice ul.Słoneczna 23/4a;;;;;;;;;;;;
912001597153;2021-06-03;2022-06-03;2021-06-18;644,00 zł;TAK;2021-12-03;644,00 zł;TAK;0,00 zł;DWL5VX3;MOTOR;Audi;A3;47-809 Łomża ul.Krótka 32/3;TAK;A00061943006;Batyra Karolina;73090713107;Franciszek Kwiatkowski;68061036369;47-809 Łomża ul.Krótka 32/3;;;;;;;;;;;;
920016462829;2021-06-03;2022-06-03;2021-06-18;894,00 zł;TAK;2021-12-03;894,00 zł;TAK;0,00 zł;DWR0A47;MOTOR;Volkswagen;Passat;05-530 Góra Kalwaria ul.Szkolna 13/87;TAK;A00001944011;Zawadzka Iwona;13232524101;Mikołaj Wojciechowski;54081577447;05-530 Góra Kalwaria ul.Szkolna 13/87;;;;;;;;;;;;
920012965910;2021-06-03;2022-06-03;2021-06-18;372,00 zł;TAK;2021-12-03;372,00 zł;NIE;482,00 zł;41-200 Sosnowiec ul.Ogrodowa 12;PROPERTY;;;41-200 Sosnowiec ul.Ogrodowa 12;TAK;A00001943008;Kozioł Antoni;42031700681;Kacper Krawczyk;90090524432;41-200 Sosnowiec ul.Ogrodowa 12;;;;;;;;;;;;
912001593714;2021-06-03;2022-06-03;2021-06-18;79,00 zł;TAK;2021-12-03;79,00 zł;NIE;102,00 zł;SMY00540;MOTOR;Skoda;Octavia;21-030 Konopnica ul.Lipowa 16;TAK;A00001943012;Sempolewski Adrian;99102258682;Wiktor Kaczmarek;55030234178;21-030 Konopnica ul.Lipowa 16;;;;;;;;;;;;
912001601171;03-12-2021;2022-12-03;2021-12-18;99,00 zł;TAK;2022-06-04;99,00 zł;TAK;0,00 zł;CTR8539I;MOTOR;Dacia;Duster;21-030 Marynin ul.Brzozowa 18;TAK;A00071943006;Ratyńska Edyta;22241082816;Leon Piotrowski;36111084680;21-030 Marynin ul.Brzozowa 18;;;;;;;;;;;;
920014729512;03-12-2021;2022-12-03;2021-12-18;202,00 zł;TAK;2022-06-04;202,00 zł;NIE;0,00 zł;WL20178;MOTOR;Toyota;RAV4;41-100 Siemianowice Śląskie ul.Łąkowa 22;TAK;A00001943027;Sempławski Michał;36040423673;Aleksander Grabowski;96050930260;41-100 Siemianowice Śląskie ul.Łąkowa 22;;;;;;;;;;;;
920018359701;03-12-2021;2022-12-03;2021-12-18;141,00 zł;TAK;2022-06-04;141,00 zł;NIE;0,00 zł;WA1728V;MOTOR;Skoda;Fabia;41-100 Siemianowice Śląskie ul.Kwiatowa 24;TAK;A00001943012;Skop Agnieszka;97092536137;Hanna Kozłowska;87111421368;41-100 Siemianowice Śląskie ul.Kwiatowa 24;;;;;;;;;;;;
912001593736;03-12-2021;2022-12-03;2021-12-18;129,00 zł;TAK;2022-06-04;129,00 zł;NIE;0,00 zł;WL527R;MOTOR;Toyota;CHR;41-100 Siemianowice Śląskie ul.Kościelna 46/12;TAK;A00001943010;Szeląg Maria;43070756806;Julia  Jankowska;58032050007;41-100 Siemianowice Śląskie ul.Kościelna 46/12;;;;;;;;;;;;
920016322144;03-12-2021;2022-12-03;2021-12-18;386,00 zł;TAK;2022-06-04;386,00 zł;NIE;0,00 zł;CTU14502;MOTOR;BMW;3;41-200 Sosnowiec ul.Targowa 34/7;TAK;A00081943006;Wójcik Irmina;14272106483;Wiktor Nowak;85051062322;41-200 Sosnowiec ul.Targowa 34/7;;;;;;;;;;;;
912001595165;03-12-2021;2022-12-03;2021-12-18;367,00 zł;TAK;2022-06-04;367,00 zł;NIE;0,00 zł;CZN23395;MOTOR;Audi;A3;41-600 Świętochłowice ul.Teatralna 23/4a;TAK;A00091943006;Mazurkiewicz Stanisław;44031321813;Szymon Kowalski;56061856344;41-600 Świętochłowice ul.Teatralna 23/4a;;;;;;;;;;;;
920016460852;04-12-2021;2022-12-04;2021-12-19;418,00 zł;TAK;2022-06-05;418,00 zł;NIE;0,00 zł;LSW23604;MOTOR;Volkswagen;Passat;21-030 Marynin ul.Piłsudzkiego 89;TAK;A00091943006;Mazurkiewicz Stanisław;30051863671;Nikodem Wiśniewski;46031812384;21-030 Marynin ul.Piłsudzkiego 89;;;;;;;;;;;;
920006492439;04-12-2021;2022-12-04;2021-12-19;208,00 zł;TAK;2022-06-05;208,00 zł;NIE;0,00 zł;41-100 Siemianowice Śląskie ul.Cmentarna 107;PROPERTY;;;41-100 Siemianowice Śląskie ul.Cmentarna 107;TAK;A00091943006;Mazurkiewicz Stanisław;36090581404;Mikołaj Wójcik;38081671769;41-100 Siemianowice Śląskie ul.Cmentarna 107;;;;;;;;;;;;
920016472710;04-12-2021;2022-12-04;2021-12-19;302,00 zł;TAK;2022-06-05;302,00 zł;NIE;0,00 zł;WND23395;MOTOR;Dacia;Duster;02-100 Warszawa ul.Polna 32/3;TAK;A00021943006;Kaczyńska Agnieszka;45051428502;Leon Kowalczyk;87011322765;02-100 Warszawa ul.Polna 32/3;;;;;;;;;;;;
920016434635;04-12-2021;2022-12-04;2021-12-19;249,00 zł;TAK;2022-06-05;249,00 zł;NIE;0,00 zł;WND23604;MOTOR;Toyota;RAV4;41-300 Dąbrowa Górnicza ul.Leśna 13/87;TAK;A00001943006;Mazurkiewicz Michał;20251216650;Kacper Kamiński;72223145772;41-300 Dąbrowa Górnicza ul.Leśna 13/87;;;;;;;;;;;;
920016408268;04-12-2021;2022-12-04;2021-12-19;496,00 zł;TAK;2022-06-05;496,00 zł;NIE;0,00 zł;WL1070M;MOTOR;Skoda;Fabia;41-500 Chorzów ul.Słoneczna 22;TAK;A00001943010;Potęga Magdalena;77072136283;Franciszek Lewandowski;77010351451;41-500 Chorzów ul.Słoneczna 22;;;;;;;;;;;;
920012985643;04-12-2021;2022-12-04;2021-12-19;222,00 zł;TAK;2022-06-05;222,00 zł;NIE;0,00 zł;40-300 Katowice ul.Krótka 24;PROPERTY;;;40-300 Katowice ul.Krótka 24;TAK;A00001943013;Kozioł Antoni;70061942241;Filip Zieliński;19271254267;40-300 Katowice ul.Krótka 24;;;;;;;;;;;;
920016399252;04-12-2021;2022-12-04;2021-12-19;309,00 zł;TAK;2022-06-05;309,00 zł;NIE;0,00 zł;WL6911D;MOTOR;BMW;3;05-091 Ząbki ul.Szkolna 46/12;TAK;A00001944017;Zawadzka Iwona;82203584661;Antoni Wójcik;98090238250;05-091 Ząbki ul.Szkolna 46/12;;;;;;;;;;;;
920009787054;05-12-2021;2022-12-05;2021-12-20;137,00 zł;TAK;2022-06-06;137,00 zł;NIE;0,00 zł;05-270 Marki ul.Ogrodowa 34/7;PROPERTY;;;05-270 Marki ul.Ogrodowa 34/7;TAK;A00001943012;Mazurkiewicz Stanisław;55062050450;Aleksander Kowalczyk;60042756785;05-270 Marki ul.Ogrodowa 34/7;;;;;;;;;;;;
920016493366;05-12-2021;2022-12-05;2021-12-20;411,00 zł;TAK;2022-06-06;411,00 zł;NIE;0,00 zł;SMI51351;MOTOR;Toyota;CHR;11-300 Lipowo ul.Lipowa 23/4a;TAK;A00011943006;Januszewska Joanna;31091163211;Alicja  Wiśniewska;92030856449;11-300 Lipowo ul.Lipowa 23/4a;;;;;;;;;;;;
920018408032;05-12-2021;2022-12-05;2021-12-20;363,00 zł;TAK;2022-06-06;363,00 zł;NIE;0,00 zł;WE986PR;MOTOR;Audi;A3;05-530 Góra Kalwaria ul.Brzozowa 89;TAK;A00001943012;Potęga Magdalena;81011458574;Hanna Wójcik ;53011331328;05-530 Góra Kalwaria ul.Brzozowa 89;;;;;;;;;;;;
920016464399;05-12-2021;2022-12-05;2021-12-20;1 290,00 zł;TAK;2022-06-06;1 290,00 zł;NIE;0,00 zł;WZ4588P;MOTOR;Citroen;C5;02-747 Warszawa ul.Łąkowa 107;TAK;A00001943028;Sempławski Michał;41011985128;Julia  Kowalczyk;19270612835;02-747 Warszawa ul.Łąkowa 107;;;;;;;;;;;;
920016430801;05-12-2021;2022-12-05;2021-12-20;545,00 zł;TAK;2022-06-06;545,00 zł;NIE;0,00 zł;SKLG54C;MOTOR;Skoda;Octavia;01-961 Warszawa ul.Kwiatowa 32/3;TAK;A00001944017;Sempławski Michał;21232004303;Laura  Kamińska;64011271022;01-961 Warszawa ul.Kwiatowa 32/3;;;;;;;;;;;;
912001610039;06-12-2021;2022-12-06;2021-12-21;79,00 zł;TAK;2022-06-07;79,00 zł;NIE;0,00 zł;WL0077X;MOTOR;Dacia;Duster;22-330 Płonka ul.Kościelna 13/87;TAK;A00041943006;Sempolewski Adrian;14220226100;Maja  Lewandowska;72051072370;22-330 Płonka ul.Kościelna 13/87;;;;;;;;;;;;
912001616953;06-12-2021;2022-12-06;2021-12-21;452,00 zł;TAK;2022-06-07;452,00 zł;NIE;0,00 zł;WL64610;MOTOR;Toyota;RAV4;58-500 Jelenia Góra ul.Targowa 18;TAK;A00111943006;Szeląg Maria;47101161553;Oliwia  Zielińska;72102135251;58-500 Jelenia Góra ul.Targowa 18;;;;;;;;;;;;
912001616420;06-12-2021;2022-12-06;2021-12-21;1 446,00 zł;TAK;2022-06-07;1 446,00 zł;NIE;0,00 zł;W23978;MOTOR;Skoda;Fabia;58-500 Jelenia Góra ul.Teatralna 22;TAK;A00001943003;Poncyliusz Joanna;44082412119;Zofia Szymańska;18280652268;58-500 Jelenia Góra ul.Teatralna 22;;;;;;;;;;;;
912001610929;06-12-2021;2022-12-06;2021-12-21;799,00 zł;TAK;2022-06-07;799,00 zł;NIE;0,00 zł;WZ026XR;MOTOR;Toyota;CHR;05-230 Kobyłka ul.Piłsudzkiego 24;TAK;A00121943006;Szymkowska Alicja;98050117252;Zuzanna Dąbrowska;59021233050;05-230 Kobyłka ul.Piłsudzkiego 24;;;;;;;;;;;;
912001610201;06-12-2021;2022-12-06;2021-12-21;139,00 zł;TAK;2022-06-07;139,00 zł;NIE;0,00 zł;WWLG54C;MOTOR;Audi;A3;05-200 Wołomin ul.Cmentarna 46/12;TAK;A00001944001;Sempławski Michał;42806634631;Maciej Kowalski;95062165000;05-200 Wołomin ul.Cmentarna 46/12;;;;;;;;;;;;
908578141015;07.07.2021;2022-07-07;2021-07-21;610,00 zł;TAK;2022-01-06;610,00 zł;NIE;85,40 zł;Jan Kowalski;PERSONAL;;;01-479 Warszawa ul. Krzywa 34/5;NIE;A00001944016;Baryła Karolina;97051306667;Jan Kowalski;65071967270;01-479 Warszawa ul. Krzywa 34/5;;;;;;;;;;;;
920018875992;10.07.2021;2022-07-10;2021-07-24;99,00 zł;TAK;2022-01-09;99,00 zł;TAK;0,00 zł;Julia Gniewosz;PERSONAL;;;05-230 Kobyłka ul. Prosta 67;TAK;A00001943004;Borkowski Bogdan;27102511755;Julia Gniewosz;79020822248;05-230 Kobyłka ul. Prosta 67;;;;;;;;;;;;
920018581454;08.07.2021;2022-07-08;2021-07-22;67,00 zł;NIE;2022-01-07;67,00 zł;NIE;9,38 zł;Maciej Krzewski;PERSONAL;;;53-031 Wrocław ul. Śliska 05;TAK;A00001944022;Chmielewski Krzysztof;85011242630;Maciej Krzewski;36012638533;53-031 Wrocław ul. Śliska 05;;;;;;;;;;;;
920018890579;08.07.2021;2022-07-08;2021-07-22;955,00 zł;TAK;2022-01-07;955,00 zł;TAK;0,00 zł;Damian Obrarski;PERSONAL;;;58-533 Karpniki ul. Góralska 90/9;TAK;A00001944009;Czorniej Artur;84052654851;Damian Obrarski;66102271614;58-533 Karpniki ul. Góralska 90/9;;;;;;;;;;;;
920018515507;13.07.2021;2022-07-13;2021-07-27;43,00 zł;NIE;2022-01-12;43,00 zł;NIE;6,02 zł;Agnieszka Mąka;PERSONAL;;;05-091 Ząbki ul. Kanarków 91;TAK;A00001943026;Dąbrowska Monika;17211535447;Agnieszka Mąka;10261527565;05-091 Ząbki ul. Kanarków 91;;;;;;;;;;;;
920018888924;07.07.2021;2022-07-07;2021-07-21;648,00 zł;NIE;2022-01-06;648,00 zł;NIE;90,72 zł;Tadeusz Nieplucewicz;PERSONAL;;;41-400 Mysłowice ul. Pocztowa 3/5;TAK;A00001944011;Drozd Piotr;92011143830;Tadeusz Nieplucewicz;61041336574;41-400 Mysłowice ul. Pocztowa 3/5;;;;;;;;;;;;
920018508955;08.07.2021;2022-07-08;2021-07-22;393,00 zł;TAK;2022-01-07;393,00 zł;NIE;55,02 zł;Janusz Nowa;PERSONAL;;;41-100 Siemianowice ul. Kościelna 43/12;NIE;A00001944010;Jakubowski Marcin;47051144613;Janusz Nowa;67031353158;41-100 Siemianowice ul. Kościelna 43/12;;;;;;;;;;;;
920018881488;02.07.2021;2022-07-02;2021-07-16;221,00 zł;TAK;2022-01-01;221,00 zł;TAK;0,00 zł;Anna Halska;PERSONAL;;;40-100 Katowice ul. Murckowska 30;TAK;A00001943009;Januszewska Joanna;95050432444;Anna Halska;11240707446;40-100 Katowice ul. Murckowska 30;;;;;;;;;;;;
920018410518;07.07.2021;2022-07-07;2021-07-21;67,00 zł;NIE;2022-01-06;67,00 zł;NIE;9,38 zł;Janina Dygant;PERSONAL;;;47-809 Łomża ul. Przemysłowa 25;TAK;A00001945001;Kaczyńska Agnieszka;43040788507;Janina Dygant;99091146168;47-809 Łomża ul. Przemysłowa 25;;;;;;;;;;;;
920018887540;15.07.2021;2022-07-15;2021-07-29;169,00 zł;TAK;2022-01-14;169,00 zł;TAK;0,00 zł;Zenon Zazukiewicz;PERSONAL;;;05-530 Góra ul. Dolna 1/89;TAK;A00001944006;Kotkiewicz Kacper;72111740315;Zenon Zazukiewicz;59111308314;05-530 Góra ul. Dolna 1/89;;;;;;;;;;;;
920018411842;05.07.2021;2022-07-05;2021-07-19;66,00 zł;TAK;2022-01-04;66,00 zł;NIE;9,24 zł;Nikola Nowak;PERSONAL;;;41-200 Sosnowiec ul. Owsiana 31;NIE;A00001943029;Mazurkiewicz Michał;26110930679;Nikola Nowak;43040788507;41-200 Sosnowiec ul. Owsiana 31;;;;;;;;;;;;
920018879758;02.07.2021;2022-07-02;2021-07-16;225,00 zł;NIE;2022-01-01;225,00 zł;NIE;31,50 zł;Henryk Bargieł;PERSONAL;;;21-030 Konopnica ul. Krakowska 05;NIE;A00001944001;Poniatowski Joanna;85100555401;Henryk Bargieł;69012377159;21-030 Konopnica ul. Krakowska 05;;;;;;;;;;;;
920018418445;03.07.2021;2022-07-03;2021-07-17;120,00 zł;TAK;2022-01-02;120,00 zł;TAK;0,00 zł;Monika Pyrdoł;PERSONAL;;;05-100 Nowy Dwór Mazowiecki ul. Warszawska 27;TAK;A00001943036;Sadowska Małgorzata;97050345829;Monika Pyrdoł;13250502404;05-100 Nowy Dwór Mazowiecki ul. Warszawska 27;;;;;;;;;;;;
920018875400;02.07.2021;2022-07-02;2021-07-16;495,00 zł;TAK;2022-01-01;495,00 zł;TAK;0,00 zł;Grzegorz Chmielewski;PERSONAL;;;01-210 Warszawa ul. Chmielna 46;TAK;A00001944006;Kotkiewicz Kacper;84030168730;Grzegorz Chmielewski;61061430058;01-210 Warszawa ul. Chmielna 46;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
