Nr polisy;Data zawarcia;Data zakoñczenia;Termin p³atnoœci 1;Kwota p³atnoœci 1;Czy op³acona 1?;Termin p³atnoœci 2;Kwota p³atnoœci 2;Czy op³acona 2?;Kwota zad³u¿enia;Nr rejestracyjny / adres;Przedmiot ubezpieczenia;Marka pojazdu;Model pojazdu;Adres ubezpieczenia;Polisa aktywna;Nr poœrednika;Imiê i nazwisko agenta;Pesel agenta;Imiê i nazwisko ubezpieczonego;Pesel ubezpieczonego;Adres ubezpieczonego
920006492439;04-12-2021;2022-12-04;2021-12-19;208,00 z³;TAK;2022-06-05;208,00 z³;NIE;0,00 z³;41-100 Siemianowice Œl¹skie ul.Cmentarna 107;PROPERTY;;;41-100 Siemianowice Œl¹skie ul.Cmentarna 107;TAK;A00091943006;Mazurkiewicz Stanis³aw;36090581404;Miko³aj Wójcik;38081671769;41-100 Siemianowice Œl¹skie ul.Cmentarna 107
920016472710;04-12-2021;2022-12-04;2021-12-19;302,00 z³;TAK;2022-06-05;302,00 z³;NIE;0,00 z³;WND23395;MOTOR;Dacia;Duster;02-100 Warszawa ul.Polna 32/3;TAK;A00021943006;Kaczyñska Agnieszka;45051428502;Leon Kowalczyk;87011322765;02-100 Warszawa ul.Polna 32/3
920016434635;04-12-2021;2022-12-04;2021-12-19;249,00 z³;TAK;2022-06-05;249,00 z³;NIE;0,00 z³;WND23604;MOTOR;Toyota;RAV4;41-300 D¹browa Górnicza ul.Leœna 13/87;TAK;A00001943006;Mazurkiewicz Micha³;20251216650;Kacper Kamiñski;72223145772;41-300 D¹browa Górnicza ul.Leœna 13/87
920016408268;04-12-2021;2022-12-04;2021-12-19;496,00 z³;TAK;2022-06-05;496,00 z³;NIE;0,00 z³;WL1070M;MOTOR;Skoda;Fabia;41-500 Chorzów ul.S³oneczna 22;TAK;A00001943010;Potêga Magdalena;77072136283;Franciszek Lewandowski;77010351451;41-500 Chorzów ul.S³oneczna 22
920012985643;04-12-2021;2022-12-04;2021-12-19;222,00 z³;TAK;2022-06-05;222,00 z³;NIE;0,00 z³;40-300 Katowice ul.Krótka 24;PROPERTY;;;40-300 Katowice ul.Krótka 24;TAK;A00001943013;Kozio³ Antoni;70061942241;Filip Zieliñski;19271254267;40-300 Katowice ul.Krótka 24
920016399252;04-12-2021;2022-12-04;2021-12-19;309,00 z³;TAK;2022-06-05;309,00 z³;NIE;0,00 z³;WL6911D;MOTOR;BMW;3;05-091 Z¹bki ul.Szkolna 46/12;TAK;A00001944017;Zawadzka Iwona;82203584661;Antoni Wójcik;98090238250;05-091 Z¹bki ul.Szkolna 46/12
920009787054;05-12-2021;2022-12-05;2021-12-20;137,00 z³;TAK;2022-06-06;137,00 z³;NIE;0,00 z³;05-270 Marki ul.Ogrodowa 34/7;PROPERTY;;;05-270 Marki ul.Ogrodowa 34/7;TAK;A00001943012;Mazurkiewicz Stanis³aw;55062050450;Aleksander Kowalczyk;60042756785;05-270 Marki ul.Ogrodowa 34/7
920016493366;05-12-2021;2022-12-05;2021-12-20;411,00 z³;TAK;2022-06-06;411,00 z³;NIE;0,00 z³;SMI51351;MOTOR;Toyota;CHR;11-300 Lipowo ul.Lipowa 23/4a;TAK;A00011943006;Januszewska Joanna;31091163211;Alicja  Wiœniewska;92030856449;11-300 Lipowo ul.Lipowa 23/4a
920018408032;05-12-2021;2022-12-05;2021-12-20;363,00 z³;TAK;2022-06-06;363,00 z³;NIE;0,00 z³;WE986PR;MOTOR;Audi;A3;05-530 Góra Kalwaria ul.Brzozowa 89;TAK;A00001943012;Potêga Magdalena;81011458574;Hanna Wójcik ;53011331328;05-530 Góra Kalwaria ul.Brzozowa 89
920016464399;05-12-2021;2022-12-05;2021-12-20;1 290,00 z³;TAK;2022-06-06;1 290,00 z³;NIE;0,00 z³;WZ4588P;MOTOR;Citroen;C5;02-747 Warszawa ul.£¹kowa 107;TAK;A00001943028;Semp³awski Micha³;41011985128;Julia  Kowalczyk;19270612835;02-747 Warszawa ul.£¹kowa 107
920016430801;05-12-2021;2022-12-05;2021-12-20;545,00 z³;TAK;2022-06-06;545,00 z³;NIE;0,00 z³;SKLG54C;MOTOR;Skoda;Octavia;01-961 Warszawa ul.Kwiatowa 32/3;TAK;A00001944017;Semp³awski Micha³;21232004303;Laura  Kamiñska;64011271022;01-961 Warszawa ul.Kwiatowa 32/3
912001610039;06-12-2021;2022-12-06;2021-12-21;79,00 z³;TAK;2022-06-07;79,00 z³;NIE;0,00 z³;WL0077X;MOTOR;Dacia;Duster;22-330 P³onka ul.Koœcielna 13/87;TAK;A00041943006;Sempolewski Adrian;14220226100;Maja  Lewandowska;72051072370;22-330 P³onka ul.Koœcielna 13/87
912001616953;06-12-2021;2022-12-06;2021-12-21;452,00 z³;TAK;2022-06-07;452,00 z³;NIE;0,00 z³;WL64610;MOTOR;Toyota;RAV4;58-500 Jelenia Góra ul.Targowa 18;TAK;A00111943006;Szel¹g Maria;47101161553;Oliwia  Zieliñska;72102135251;58-500 Jelenia Góra ul.Targowa 18
912001616420;06-12-2021;2022-12-06;2021-12-21;1 446,00 z³;TAK;2022-06-07;1 446,00 z³;NIE;0,00 z³;W23978;MOTOR;Skoda;Fabia;58-500 Jelenia Góra ul.Teatralna 22;TAK;A00001943003;Poncyliusz Joanna;44082412119;Zofia Szymañska;18280652268;58-500 Jelenia Góra ul.Teatralna 22
912001610929;06-12-2021;2022-12-06;2021-12-21;799,00 z³;TAK;2022-06-07;799,00 z³;NIE;0,00 z³;WZ026XR;MOTOR;Toyota;CHR;05-230 Koby³ka ul.Pi³sudzkiego 24;TAK;A00121943006;Szymkowska Alicja;98050117252;Zuzanna D¹browska;59021233050;05-230 Koby³ka ul.Pi³sudzkiego 24
912001610201;06-12-2021;2022-12-06;2021-12-21;139,00 z³;TAK;2022-06-07;139,00 z³;NIE;0,00 z³;WWLG54C;MOTOR;Audi;A3;05-200 Wo³omin ul.Cmentarna 46/12;TAK;A00001944001;Semp³awski Micha³;42806634631;Maciej Kowalski;95062165000;05-200 Wo³omin ul.Cmentarna 46/12
